ticker,timestamp_utc,timestamp_ny,session_date_ny,bar_number_in_session,bar_interval_minutes,open,high,low,close,volume,market_cap_raw,session_bar_count,is_full_session,is_short_session,is_incomplete_session,source_file
CAT,2024-08-13 19:30:00+00:00,2024-08-13T15:30:00-0400,2024-08-13,7,60,337.70693936106363,339.08,337.5,338.465,23687,165030706453.86264,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-13 19:30:00+00:00,2024-08-13T15:30:00-0400,2024-08-13,7,60,413.8060302962084,414.1,412.51,413.6025,353083,3129439905354.8125,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-13 19:30:00+00:00,2024-08-13T15:30:00-0400,2024-08-13,7,60,116.75445344119748,116.95,116.65,116.815,93203,155651644167.80676,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-14 13:30:00+00:00,2024-08-14T09:30:00-0400,2024-08-14,1,60,140.57245386547993,143.2,138.13,140.83999999999995,1102645,230006019215.9188,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-14 13:30:00+00:00,2024-08-14T09:30:00-0400,2024-08-14,1,60,338.0859696805318,341.79,337.29,339.53000000000003,20196,164775347381.376,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-14 13:30:00+00:00,2024-08-14T09:30:00-0400,2024-08-14,1,60,413.7042651481042,416.62,413.5,414.8425,292587,3119686834110.578,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-14 13:30:00+00:00,2024-08-14T09:30:00-0400,2024-08-14,1,60,116.78472672059874,117.64,116.66,117.1925,75535,157102561793.3749,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-14 14:30:00+00:00,2024-08-14T10:30:00-0400,2024-08-14,2,60,140.70622693273995,140.70622693273995,137.64,139.2275,543668,227372643001.8769,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-14 14:30:00+00:00,2024-08-14T10:30:00-0400,2024-08-14,2,60,338.807984840266,338.807984840266,336.0,337.565,16793,163821724556.87033,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-14 14:30:00+00:00,2024-08-14T10:30:00-0400,2024-08-14,2,60,414.2733825740521,416.3,412.44,414.82,184844,3119517630247.021,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-14 14:30:00+00:00,2024-08-14T10:30:00-0400,2024-08-14,2,60,116.98861336029935,117.59,116.98861336029935,117.43,50175,157420942734.356,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-14 15:30:00+00:00,2024-08-14T11:30:00-0400,2024-08-14,3,60,139.96686346636997,140.76,139.26,139.83249999999998,401653,228360669426.3701,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-14 15:30:00+00:00,2024-08-14T11:30:00-0400,2024-08-14,3,60,338.18649242013294,338.36,334.6,336.46750000000003,23127,163289103157.4327,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-14 15:30:00+00:00,2024-08-14T11:30:00-0400,2024-08-14,3,60,414.5466912870261,417.56,414.5466912870261,416.245,193967,3130233874938.941,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-14 15:30:00+00:00,2024-08-14T11:30:00-0400,2024-08-14,3,60,117.2093066801497,117.83,117.17,117.4625,95449,157464510652.59552,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-14 16:30:00+00:00,2024-08-14T12:30:00-0400,2024-08-14,4,60,139.899681733185,139.899681733185,138.8,139.39,264320,227638022000.1912,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-14 16:30:00+00:00,2024-08-14T12:30:00-0400,2024-08-14,4,60,337.32699621006645,337.32699621006645,335.2,336.235,6799,163176269922.4721,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-14 16:30:00+00:00,2024-08-14T12:30:00-0400,2024-08-14,4,60,415.395845643513,416.71,415.13,416.0325,109693,3128635838449.795,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-14 16:30:00+00:00,2024-08-14T12:30:00-0400,2024-08-14,4,60,117.33590334007484,117.66,117.33590334007484,117.5275,27730,157551646489.07452,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-14 17:30:00+00:00,2024-08-14T13:30:00-0400,2024-08-14,5,60,139.6448408665925,140.0,139.24,139.725,186304,228185111012.10068,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-14 17:30:00+00:00,2024-08-14T13:30:00-0400,2024-08-14,5,60,336.78099810503323,337.95,336.5,337.22,8571,163654294595.31592,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-14 17:30:00+00:00,2024-08-14T13:30:00-0400,2024-08-14,5,60,415.7141728217565,417.05,415.68,416.3225,122849,3130816688246.747,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-14 17:30:00+00:00,2024-08-14T13:30:00-0400,2024-08-14,5,60,117.43170167003744,117.66,117.43170167003744,117.5825,36107,157625376812.2491,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-14 18:30:00+00:00,2024-08-14T14:30:00-0400,2024-08-14,6,60,139.68492043329624,140.35,139.58,139.9375,233306,228532145086.81937,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-14 18:30:00+00:00,2024-08-14T14:30:00-0400,2024-08-14,6,60,337.0004990525166,338.54,337.0004990525166,337.835,7248,163952756700.69553,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-14 18:30:00+00:00,2024-08-14T14:30:00-0400,2024-08-14,6,60,416.0183364108783,416.6,415.12,415.87250000000006,115429,3127432610975.615,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-14 18:30:00+00:00,2024-08-14T14:30:00-0400,2024-08-14,6,60,117.50710083501872,117.81,117.47,117.6,31971,157648836460.53192,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-14 19:30:00+00:00,2024-08-14T15:30:00-0400,2024-08-14,7,60,139.8112102166481,140.9,139.73,140.325,266693,229164971928.95343,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-14 19:30:00+00:00,2024-08-14T15:30:00-0400,2024-08-14,7,60,337.41774952625826,338.7,337.27,337.9475,29025,164007353427.28937,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-14 19:30:00+00:00,2024-08-14T15:30:00-0400,2024-08-14,7,60,415.9454182054392,417.72,415.55,416.365,299527,3131136295544.576,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-14 19:30:00+00:00,2024-08-14T15:30:00-0400,2024-08-14,7,60,117.55355041750936,117.68,117.39,117.55,104916,157581808894.00958,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-15 13:30:00+00:00,2024-08-15T09:30:00-0400,2024-08-15,1,60,140.06810510832406,145.31,140.06810510832406,143.75875,1096377,242890265031.88803,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-15 13:30:00+00:00,2024-08-15T09:30:00-0400,2024-08-15,1,60,337.6826247631291,347.39,337.6826247631291,343.9225,35763,170337856485.25864,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-15 13:30:00+00:00,2024-08-15T09:30:00-0400,2024-08-15,1,60,416.1552091027196,420.93,416.1552091027196,419.535,417779,3160255325674.244,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-15 13:30:00+00:00,2024-08-15T09:30:00-0400,2024-08-15,1,60,117.55177520875468,118.87,117.53,118.1325,79410,158644022776.97046,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-15 14:30:00+00:00,2024-08-15T10:30:00-0400,2024-08-15,2,60,141.913427554162,146.32,141.913427554162,145.45499999999998,807265,245756195711.3099,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-15 14:30:00+00:00,2024-08-15T10:30:00-0400,2024-08-15,2,60,340.8025623815646,346.95,340.8025623815646,344.4475,28454,170597878364.18414,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-15 14:30:00+00:00,2024-08-15T10:30:00-0400,2024-08-15,2,60,417.8451045513598,419.92,417.8451045513598,419.1125,242130,3157072735723.233,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-15 14:30:00+00:00,2024-08-15T10:30:00-0400,2024-08-15,2,60,117.84213760437734,118.04,117.56,117.83,63888,158237785569.68173,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-15 15:30:00+00:00,2024-08-15T11:30:00-0400,2024-08-15,3,60,143.684213777081,147.21,143.684213777081,146.45999999999998,532828,247454212119.75143,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-15 15:30:00+00:00,2024-08-15T11:30:00-0400,2024-08-15,3,60,342.6250311907823,347.55,342.6250311907823,346.9975,22445,171860841776.10806,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-15 15:30:00+00:00,2024-08-15T11:30:00-0400,2024-08-15,3,60,418.4788022756799,420.55,418.43,419.46,177206,3159690368878.206,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-15 15:30:00+00:00,2024-08-15T11:30:00-0400,2024-08-15,3,60,117.83606880218866,118.1,117.59,117.9075,37559,158341862870.72266,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-15 16:30:00+00:00,2024-08-15T12:30:00-0400,2024-08-15,4,60,145.07210688854047,147.27,145.07210688854047,146.9425,398513,248269428952.66,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-15 16:30:00+00:00,2024-08-15T12:30:00-0400,2024-08-15,4,60,344.81126559539115,347.44,344.81126559539115,347.0475,11483,171885605764.57718,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-15 16:30:00+00:00,2024-08-15T12:30:00-0400,2024-08-15,4,60,418.9694011378399,420.15,418.54,419.4725,159799,3159784528344.2124,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-15 16:30:00+00:00,2024-08-15T12:30:00-0400,2024-08-15,4,60,117.87178440109436,118.04,117.83,117.955,31244,158405652184.26385,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-15 17:30:00+00:00,2024-08-15T13:30:00-0400,2024-08-15,5,60,146.00730344427024,147.69,146.00730344427024,147.10750000000002,374996,248548207765.98624,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-15 17:30:00+00:00,2024-08-15T13:30:00-0400,2024-08-15,5,60,345.92938279769555,347.33,345.83,346.71,8101,171718448842.41077,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-15 17:30:00+00:00,2024-08-15T13:30:00-0400,2024-08-15,5,60,419.22095056891993,420.26,419.19,419.6625,140459,3161215752227.508,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-15 17:30:00+00:00,2024-08-15T13:30:00-0400,2024-08-15,5,60,117.91339220054718,118.175,117.9,118.03125,35000,158508050819.15894,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-15 18:30:00+00:00,2024-08-15T14:30:00-0400,2024-08-15,6,60,146.55740172213513,147.45,146.55740172213513,147.1525,368039,248624238351.43884,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-15 18:30:00+00:00,2024-08-15T14:30:00-0400,2024-08-15,6,60,346.3196913988478,346.51,345.56,346.2,15825,171465856160.02597,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-15 18:30:00+00:00,2024-08-15T14:30:00-0400,2024-08-15,6,60,419.44172528446,420.19,419.44172528446,419.9325,116588,3163249596693.242,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-15 18:30:00+00:00,2024-08-15T14:30:00-0400,2024-08-15,6,60,117.9723211002736,118.35,117.94,118.12875,40507,158638986778.533,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-15 19:30:00+00:00,2024-08-15T15:30:00-0400,2024-08-15,7,60,146.85495086106755,147.96,146.85495086106755,147.4525,479979,249131108921.1229,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-15 19:30:00+00:00,2024-08-15T15:30:00-0400,2024-08-15,7,60,346.25984569942386,346.75,344.97,345.9225,34964,171328416024.0225,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-15 19:30:00+00:00,2024-08-15T15:30:00-0400,2024-08-15,7,60,419.68711264223,421.11,419.11,420.3175,313871,3166149708246.234,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-15 19:30:00+00:00,2024-08-15T15:30:00-0400,2024-08-15,7,60,118.0505355501368,118.36,117.9,118.20000000000002,85623,158734670748.84482,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-16 13:30:00+00:00,2024-08-16T09:30:00-0400,2024-08-16,1,60,147.15372543053377,149.35,145.2,147.17000000000002,1028000,243985319727.63696,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-16 13:30:00+00:00,2024-08-16T09:30:00-0400,2024-08-16,1,60,346.09117284971194,346.09117284971194,342.7,344.1625,24798,166320849790.61615,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-16 13:30:00+00:00,2024-08-16T09:30:00-0400,2024-08-16,1,60,420.0023063211149,421.34,417.32,419.36625,440553,3106549788092.492,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-16 13:30:00+00:00,2024-08-16T09:30:00-0400,2024-08-16,1,60,118.1252677750684,118.62,117.57,118.0425,91447,156495783711.37927,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-16 14:30:00+00:00,2024-08-16T10:30:00-0400,2024-08-16,2,60,147.1618627152669,148.96,147.13,148.11,435402,245543695759.05624,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-16 14:30:00+00:00,2024-08-16T10:30:00-0400,2024-08-16,2,60,345.126836424856,345.126836424856,340.99,342.49,29884,165512593163.95053,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-16 14:30:00+00:00,2024-08-16T10:30:00-0400,2024-08-16,2,60,419.6842781605575,419.6842781605575,417.31,417.9025,235864,3095706730854.7656,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-16 14:30:00+00:00,2024-08-16T10:30:00-0400,2024-08-16,2,60,118.0838838875342,118.12,117.77,117.91,56648,156320120781.99573,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-16 15:30:00+00:00,2024-08-16T11:30:00-0400,2024-08-16,3,60,147.63593135763347,148.92,147.63593135763347,148.33125,326381,245910494372.83447,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-16 15:30:00+00:00,2024-08-16T11:30:00-0400,2024-08-16,3,60,343.808418212428,343.808418212428,342.19,342.7525,26551,165639449585.17606,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-16 15:30:00+00:00,2024-08-16T11:30:00-0400,2024-08-16,3,60,418.7933890802788,419.46,417.66,418.5575,163933,3100558790626.387,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-16 15:30:00+00:00,2024-08-16T11:30:00-0400,2024-08-16,3,60,117.9969419437671,117.9969419437671,117.73,117.855,49477,156247204094.3271,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-16 16:30:00+00:00,2024-08-16T12:30:00-0400,2024-08-16,4,60,147.98359067881674,149.29,147.98359067881674,148.9625,362298,246957010191.80612,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-16 16:30:00+00:00,2024-08-16T12:30:00-0400,2024-08-16,4,60,343.28045910621404,343.76,342.01,342.8525,22087,165687775840.88104,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-16 16:30:00+00:00,2024-08-16T12:30:00-0400,2024-08-16,4,60,418.6754445401394,419.68,418.6754445401394,419.34,142795,3106355335315.385,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-16 16:30:00+00:00,2024-08-16T12:30:00-0400,2024-08-16,4,60,117.92597097188354,118.23,117.79,117.955,46417,156379779890.08826,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-16 17:30:00+00:00,2024-08-16T13:30:00-0400,2024-08-16,5,60,148.47304533940837,149.21,148.47304533940837,148.95499999999998,211789,246944576340.49164,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-16 17:30:00+00:00,2024-08-16T13:30:00-0400,2024-08-16,5,60,343.066479553107,343.89,342.62,343.1975,12703,165854501423.06317,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-16 17:30:00+00:00,2024-08-16T13:30:00-0400,2024-08-16,5,60,419.0077222700697,419.68,418.43,419.1325000000001,120239,3104818232410.635,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-16 17:30:00+00:00,2024-08-16T13:30:00-0400,2024-08-16,5,60,117.94048548594178,118.31,117.94048548594178,118.125,46010,156605158742.88223,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-16 18:30:00+00:00,2024-08-16T14:30:00-0400,2024-08-16,6,60,148.71402266970418,149.18,148.6,148.86,251239,246787080890.5078,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-16 18:30:00+00:00,2024-08-16T14:30:00-0400,2024-08-16,6,60,343.1319897765535,344.62,342.92,343.755,14713,166123920298.61838,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-16 18:30:00+00:00,2024-08-16T14:30:00-0400,2024-08-16,6,60,419.0701111350349,419.14,418.52,418.8625,128307,3102818146703.2485,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-16 18:30:00+00:00,2024-08-16T14:30:00-0400,2024-08-16,6,60,118.0327427429709,118.41,118.0327427429709,118.245,36841,156764249697.79565,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-16 19:30:00+00:00,2024-08-16T15:30:00-0400,2024-08-16,7,60,148.78701133485208,148.84,148.24,148.56,206330,246289726837.9272,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-16 19:30:00+00:00,2024-08-16T15:30:00-0400,2024-08-16,7,60,343.44349488827675,344.92,343.29,343.9425,37608,166214532028.0652,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-16 19:30:00+00:00,2024-08-16T15:30:00-0400,2024-08-16,7,60,418.9663055675175,419.24,418.31,418.7475,153676,3101966258346.3994,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-16 19:30:00+00:00,2024-08-16T15:30:00-0400,2024-08-16,7,60,118.13887137148544,118.22,117.85,118.05,75371,156505726896.06137,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-19 13:30:00+00:00,2024-08-19T09:30:00-0400,2024-08-19,1,60,148.67350566742604,152.76,147.73,150.37,1720792,256717310187.1053,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-19 13:30:00+00:00,2024-08-19T09:30:00-0400,2024-08-19,1,60,343.6929974441384,346.1,343.5,344.57,22591,167478588798.08194,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-19 13:30:00+00:00,2024-08-19T09:30:00-0400,2024-08-19,1,60,418.8569027837588,419.87,416.46,418.27,245954,3124601870280.3403,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-19 13:30:00+00:00,2024-08-19T09:30:00-0400,2024-08-19,1,60,118.09443568574272,118.48,117.99,118.1475,33618,157627281303.67917,7,True,False,False,"BATS_RTX, 60.csv"
